prct_cause_infra,retard_moyen_trains_retard_sup15,retard_moyen_tous_trains_arrivee,prct_cause_externe,nb_train_prevu,prct_cause_gestion_trafic,nb_train_retard_arrivee,nb_train_retard_sup_15,nb_annulation,prct_cause_prise_en_charge_voyageurs,gare_arrivee,retard_moyen_arrivee,nb_train_retard_sup_30,nb_train_retard_sup_60,service,nb_train_depart_retard,commentaires_retard_arrivee,prct_cause_gestion_gare,date,gare_depart,duree_moyenne,retard_moyen_depart,retard_moyen_tous_trains_depart,prct_cause_materiel_roulant
16.86746988,42.65045045,3.636178207,34.93975904,629,14.45783133,86,37,8,0.0,LILLE,23.33449612,17,8,National,454,,13.25301205,2019-10,PARIS NORD,61,19.07114537,13.83878154,20.48192771
36.95652174,41.88623188,14.36676245,21.73913043,178,13.04347826,46,46,4,4.347826087,LILLE,41.88623188,16,5,National,97,,6.52173913,2019-10,MARSEILLE ST CHARLES,285,4.599656357,2.356800766,17.39130435
39.13043478,35.62108844,12.16907051,15.94202899,212,14.49275362,70,49,4,5.797101449,LILLE,28.78452381,15,5,National,184,,10.14492754,2019-10,LYON PART DIEU,186,9.295289855,8.200320513,14.49275362
11.11111111,50.64270833,3.208952703,34.92063492,604,14.28571429,68,32,12,1.587301587,LILLE,28.51348039,17,8,National,456,,20.63492063,2019-09,PARIS NORD,62,14.85716374,11.35591216,17.46031746
25.0,36.63739837,11.43169557,15.0,175,37.5,42,42,2,0.0,LILLE,32.33166667,14,6,National,81,,10.0,2019-09,MARSEILLE ST CHARLES,286,5.383950617,2.290655106,12.5
23.07692308,37.05641026,10.56600985,11.53846154,207,36.53846154,52,40,4,7.692307692,LILLE,26.89871795,12,6,National,176,,9.615384615,2019-09,LYON PART DIEU,186,8.221212121,7.107799672,11.53846154
23.07692308,30.81320755,10.76619273,15.38461538,237,36.92307692,65,53,26,10.76923077,LILLE,27.26641026,14,4,National,179,,7.692307692,2019-08,LYON PART DIEU,187,8.622625698,7.288388626,6.153846154
15.2173913,31.586,2.054980392,17.39130435,427,13.04347826,47,25,2,2.173913043,LILLE,21.00177305,9,3,National,321,,6.52173913,2019-08,PARIS NORD,62,21.88764278,16.43760784,45.65217391
20.0,35.22,11.16382784,15.55555556,208,37.77777778,45,45,26,11.11111111,LILLE,35.22,11,3,National,82,,6.666666667,2019-08,MARSEILLE ST CHARLES,286,7.156707317,3.019505495,8.888888889
24.70588235,40.23469388,4.193856448,21.17647059,554,12.94117647,87,50,6,3.529411765,LILLE,26.03409962,25,8,National,425,,14.11764706,2019-07,PARIS NORD,63,15.15905882,11.66061436,23.52941176
15.71428571,34.99285714,14.65854922,25.71428571,207,32.85714286,70,70,14,2.857142857,LILLE,34.99285714,29,9,National,88,,7.142857143,2019-07,MARSEILLE ST CHARLES,285,6.729734848,1.23955095,15.71428571
25.80645161,34.34259259,15.28378582,18.27956989,287,37.6344086,94,81,66,2.150537634,LILLE,31.20106383,29,10,National,195,,5.376344086,2019-07,LYON PART DIEU,187,9.380854701,8.261915535,10.75268817
